ID,faithfulness,informativeness_step,informativeness_chain,faithfulness_ww,repetition_word,repetition_step,reasoning_alignment,external_hallucination,redundancy,common_sense_error,missing_step,semantic_coverage_step,semantic_coverage_chain,discourse_representation,coherence_step_vs_step,perplexity_step,perplexity_chain,perplexity_step_max,grammar_step,grammar_step_max,ROSCOE-SA,ROSCOE-SS,ROSCOE-LI,ROSCOE-LC
0,0.8479225337505341,0.8543101213872433,0.9376167356967926,0.9420019444823264,0.0447546412547429,0.0587742030620574,0.9317374899983406,0.9834132544107446,0.8844825923442841,0.9916573927560216,0.8999300599098206,0.9951401253541312,0.9633857756853104,0.0118481516838073,0.864030733704567,0.001913918559295,0.0208514256554631,9.481154030732064e-05,0.8198796361684799,0.7036805748939514,0.8375350155648189,0.6532589048147202,0.4379394426941871,0.30928407336349933
1,0.8795698881149292,0.8927086144685745,0.9365762025117874,0.9380784390701188,0.0269080631194575,0.0299275815486907,0.944073716799418,0.9909077905626464,0.8926650881767273,0.971651167394442,0.8256261646747589,0.969492127497991,0.948764830827713,0.1993239521980285,0.0523807406425476,0.0025281791583852,0.0447423566467378,0.0001260051264923,0.9276836117108664,0.9091856479644777,0.8331681059879064,0.638422871629397,0.12585234642028806,0.3768531601213919
2,0.8456353098154068,0.8498010225594044,0.9358823597431184,0.9390785050218122,0.027712176905738,0.0854983031749725,0.8958053663372993,0.9673370844764512,0.8244070410728455,0.9594488735699808,0.8244070410728455,0.987534174323082,0.9855010509490968,0.3609012961387634,0.0016121864318847,0.0030457546186246,0.0685179004233811,0.0001075223676619,0.8802262246608734,0.5912966132164001,0.8121166595154866,0.6689605712890625,0.18125674128532407,0.3086388030573882
3,0.8712296187877655,0.8825294921795528,0.964911937713623,0.9332817693551382,0.0368725955486297,0.0873182713985443,0.9827995896339417,0.9977225298926272,0.9643768668174744,0.997805110271834,0.9643768668174744,0.9929685195287068,0.9922601580619812,0.0090253949165344,0.0079673528671264,0.0002115586081285,0.0102219675789126,1.7900904885576966e-05,0.8511838912963867,0.697323739528656,0.8623962958833145,0.6814967890580496,0.0084963738918304,0.31179181158339386
4,0.879605362812678,0.8940829982360203,0.9684905260801316,0.9468937247991562,0.0423267285029093,0.0871625840663909,0.9296125968297324,0.985180065910776,0.9093854129314424,0.9875248873152982,0.9093854129314424,0.986414074897766,0.9768901765346528,0.0335333347320556,0.2447168827056884,0.0009078827686171,0.0356732902458427,3.817228310380297e-05,0.8615764180819193,0.6697347164154053,0.847041126516722,0.677514428893725,0.139125108718872,0.3135860959589777
5,0.8599538107713064,0.8584972533086936,0.9614347517490388,0.9380552348658796,0.0369287919998169,0.0334445238113403,0.9189516107241312,0.9670172713443108,0.8625690340995789,0.9778106289297313,0.8679457902908325,0.9862556060155232,0.984389990568161,0.003243863582611,0.0005317330360412,0.001662323047993,0.0731482352594027,5.551900243170729e-05,0.9277260402838388,0.7254407405853271,0.8273985032349804,0.6597564220428467,0.0018877983093260999,0.34560657163579867
6,0.8819741606712341,0.9044506549835204,0.9786770194768906,0.944259784323104,0.0268300811449686,0.0362547785043716,0.9777535140514374,0.9957122075049094,0.9529188871383668,0.996830358947939,0.9668008387088776,0.9985517337918282,0.9928966462612152,0.036941111087799,0.0018799901008605,0.0004576118548105,0.0582012210799125,2.633989193493696e-05,0.8906691908836365,0.6139318943023682,0.8646082221266186,0.6692761480808258,0.01941055059432975,0.3126572516025325
7,0.8712156042456627,0.8675383776426315,0.9729313105344772,0.9311417892415036,0.0315559263582583,0.0318659543991088,0.956472635269165,0.9899251733836536,0.9223136901855468,0.98886836123188,0.8703905344009399,0.9752433821558952,0.9721516221761703,0.0154258608818054,0.0058156847953796,0.0007977341121307,0.041581508168421,3.229210606846289e-05,0.8674424737691879,0.7755318284034729,0.8404665474115138,0.6589829623699188,0.0106207728385925,0.3370771673118562
8,0.8885269505637032,0.8997949420341423,0.9526459723711014,0.9394800035903852,0.0120774579048156,0.045956403017044,0.9213924578257968,0.9814418520282402,0.8486844897270203,0.9732613957869348,0.8685996532440186,0.9794511826975004,0.9782542139291764,0.0073748230934143,0.0024924278259277,0.0016741933467633,0.1020595647987238,4.730526264941903e-05,0.9446662664413452,0.8399966359138489,0.8312710385402557,0.6589521964391073,0.004933625459671,0.3776887931526661
9,0.8647783279418946,0.882284739613533,0.9508778601884842,0.9458918928081154,0.0242067763098964,0.0470933318138122,0.9381639897823334,0.9871865470745096,0.8843426406383514,0.9400602746729234,0.8140885829925537,0.9678707192341486,0.970515802502632,0.5057596266269684,0.0048860907554626,0.0036042258656221,0.0877288821714277,0.0002385258227823,0.9287441611289978,0.8048332333564758,0.8248874491068259,0.6561623315016428,0.2553228586912155,0.3650298056690612
